exhibit_id,category,coverage_status,paper_refs,entry_script,helper_or_generator,saved_inputs,output_path,context_dossier,notes
Figure 9,main-figure,implemented,Figure 9; Sec. 3.3; Eq. (10),_run_paper_results.R,code_base/plot_mean_vs_cov.R,Treasury-model unconditional saved results and treasury OOS data,output/paper/figures/fig9_*.pdf,docs/agent-context/exhibits/figure-9.md,Treasury diagnostics that separate credit and Treasury components
Figure 10,main-figure,implemented,Figure 10; Sec. 3.4; Eq. (7),_run_paper_results.R,code_base/fit_sdf_models.R,Joint-model unconditional saved results,output/paper/figures/fig10_sdf_time_series_bma.pdf,docs/agent-context/exhibits/figure-10.md,BMA SDF level dynamics
Figure 11,main-figure,implemented,Figure 11; Sec. 3.4; Eq. (7),_run_paper_results.R,code_base/fit_sdf_models.R,Joint-model unconditional saved results,output/paper/figures/fig11_sdf_volatility_bma_capmb_ff5.pdf,docs/agent-context/exhibits/figure-11.md,Conditional volatility comparison
Figure 12 Panel A,main-figure,implemented,Figure 12 Panel A; Sec. 3.4; Eq. (7),_run_paper_results.R,code_base/fit_sdf_models.R,Joint-model unconditional saved results,output/paper/figures/fig12a_predictability1m_bma.pdf,docs/agent-context/exhibits/figure-12.md,One-month predictability
Figure 12 Panel B,main-figure,implemented,Figure 12 Panel B; Sec. 3.4; Eq. (7),_run_paper_results.R,code_base/fit_sdf_models.R,Joint-model unconditional saved results,output/paper/figures/fig12b_predictability12m_bma.pdf,docs/agent-context/exhibits/figure-12.md,Twelve-month predictability
Figure 13,main-figure,implemented,Figure 13; Sec. 3.4; Eq. (7),_run_paper_results.R,code_base/plot_cumulative_sr.R,Joint-model unconditional saved results,output/paper/figures/fig13_cum_sr_80pct.pdf,docs/agent-context/exhibits/figure-13.md,Cumulative SDF-implied Sharpe ratio as factors are added
Figure IA.17a,appendix-figure,implemented,Figure IA.17a,_run_paper_results.R,code_base/expanding_runs_plots.R,output/time_varying/expanding*.rds,output/paper/figures/fig_ia_17a_top5_lambda_psi80.pdf,docs/agent-context/exhibits/figure-ia-17.md,Top factors by lambda in the forward expanding window
Figure IA.17b,appendix-figure,implemented,Figure IA.17b,_run_paper_results.R,code_base/expanding_runs_plots.R,output/time_varying/backward*.rds,output/paper/figures/fig_ia_17b_top5_lambda_psi80.pdf,docs/agent-context/exhibits/figure-ia-17.md,Top factors by lambda in the backward expanding window
Table IA.1,ia-table,implemented-subset,Table IA.1,ia/_run_ia_results.R,code_base/pp_figure_table.R,ia/output/unconditional/bond/*.Rdata,ia/output/paper/tables/table_ia_1*.tex,docs/agent-context/exhibits/ia-implemented-subset.md,Posterior probabilities for the bond-with-intercept IA model
Table IA.2,ia-table,implemented-subset,Table IA.2,ia/_run_ia_results.R,code_base/pp_figure_table.R,ia/output/unconditional/stock/*.Rdata,ia/output/paper/tables/table_ia_2*.tex,docs/agent-context/exhibits/ia-implemented-subset.md,Posterior probabilities for the stock-with-intercept IA model
Table IA.3,ia-table,implemented-subset,Table IA.3,ia/_run_ia_results.R,code_base/pp_figure_table.R,ia/output/unconditional/bond/*.Rdata,ia/output/paper/tables/table_ia_3*.tex,docs/agent-context/exhibits/ia-implemented-subset.md,Posterior probabilities for the bond no-intercept IA model
Table IA.4,ia-table,implemented-subset,Table IA.4,ia/_run_ia_results.R,code_base/pp_figure_table.R,ia/output/unconditional/stock/*.Rdata,ia/output/paper/tables/table_ia_4*.tex,docs/agent-context/exhibits/ia-implemented-subset.md,Posterior probabilities for the stock no-intercept IA model
Table IA.5,ia-table,implemented-subset,Table IA.5,ia/_run_ia_results.R,code_base/pp_figure_table.R,ia/output/unconditional/bond_stock_with_sp/*.Rdata,ia/output/paper/tables/table_ia_5*.tex,docs/agent-context/exhibits/ia-implemented-subset.md,Posterior probabilities for the joint no-intercept IA model
Table IA.6,ia-table,implemented-subset,Table IA.6,ia/_run_ia_results.R,ia/_run_ia_results.R section 5.2,No-intercept IA saved results plus IS_AP objects,ia/output/paper/tables/table_ia_6_is_pricing.tex,docs/agent-context/exhibits/ia-implemented-subset.md,In-sample pricing for no-intercept IA models
Table IA.7,ia-table,implemented-subset,Table IA.7,ia/_run_ia_results.R,ia/_run_ia_results.R section 5.2,No-intercept IA saved results plus OOS asset files,ia/output/paper/tables/table_ia_7_os_pricing.tex,docs/agent-context/exhibits/ia-implemented-subset.md,Out-of-sample pricing for no-intercept IA models
Duration Pricing,ia-table,implemented-subset,IA duration robustness,ia/_run_ia_results.R,ia/_run_ia_results.R section 5.4,Duration-adjusted saved results,ia/output/paper/tables/table_duration_pricing.tex,docs/agent-context/exhibits/ia-implemented-subset.md,Duration-adjusted pricing robustness table
Treasury Posterior Probabilities,ia-table,implemented-subset,IA treasury robustness,ia/_run_ia_results.R,code_base/pp_figure_table.R,ia/output/unconditional/treasury/excess_treasury_alpha.w=1_beta.w=1_kappa=0_bond_treasury.Rdata,ia/output/paper/tables/table_treasury_posterior_probs.tex,docs/agent-context/exhibits/ia-implemented-subset.md,Treasury posterior probability table
Treasury SR Decomposition,ia-table,implemented-subset,IA treasury robustness; Eq. (10),ia/_run_ia_results.R,code_base/sr_tables.R,ia treasury saved results and treasury SR decomposition object,ia/output/paper/tables/table_treasury_sr_decomp.tex,docs/agent-context/exhibits/ia-implemented-subset.md,Treasury-only Sharpe-ratio decomposition
Treasury Posterior Probability Figure,ia-figure,implemented-subset,IA treasury robustness,ia/_run_ia_results.R,code_base/pp_figure_table.R,ia treasury saved results,ia/output/paper/figures/figure_2_posterior_probs_excess_treasury_bond_treasury*.pdf,docs/agent-context/exhibits/ia-implemented-subset.md,Figure 2 analogue for the treasury branch
Treasury NFac SR Figure,ia-figure,implemented-subset,IA treasury robustness,ia/_run_ia_results.R,code_base/plot_nfac_sr.R,ia treasury saved results,ia/output/paper/figures/figure_3_nfac_sr_excess_treasury_bond_treasury*.pdf,docs/agent-context/exhibits/ia-implemented-subset.md,Figure 3 analogue for the treasury branch
Treasury Posterior Bars Figure,ia-figure,implemented-subset,IA treasury robustness,ia/_run_ia_results.R,code_base/pp_bar_plots.R,ia treasury saved results,ia/output/paper/figures/figure_4_posterior_bars_excess_treasury_bond_treasury.pdf,docs/agent-context/exhibits/ia-implemented-subset.md,Figure 4 analogue for the treasury branch
Treasury Weighted DR-Tilt Figure,ia-figure,implemented-subset,IA treasury weighted robustness; Eq. (10),ia/_run_ia_results.R,code_base/pp_bar_plots.R,ia/output/unconditional/treasury/excess_treasury_alpha.w=1_beta.w=1_kappa=weighted_bond_treasury.Rdata,ia/output/paper/figures/figure_4_posterior_bars_excess_treasury_bond_treasury_dr_tilt.pdf,docs/agent-context/exhibits/ia-implemented-subset.md,Requires ia/data/w_all.rds at estimation time
Sparse Posterior Probabilities,ia-table,implemented-subset,IA sparse robustness; Eq. (6),ia/_run_ia_results.R,code_base/pp_figure_table.R,ia/output/unconditional/bond_stock_with_sp/excess_bond_stock_with_sp_alpha.w=3_beta.w=34_kappa=0_ia_sparse.Rdata,ia/output/paper/tables/table_sparse_posterior_probs.tex,docs/agent-context/exhibits/ia-implemented-subset.md,Posterior probability table for the sparse-joint IA model
Sparse Posterior Probability Figure,ia-figure,implemented-subset,IA sparse robustness; Eq. (6),ia/_run_ia_results.R,code_base/pp_figure_table.R,ia/output/unconditional/bond_stock_with_sp/excess_bond_stock_with_sp_alpha.w=3_beta.w=34_kappa=0_ia_sparse.Rdata,ia/output/paper/figures/figure_2_posterior_probs_excess_bond_stock_with_sp_baseline*.pdf,docs/agent-context/exhibits/ia-implemented-subset.md,Figure 2 analogue for the sparse-joint IA model using the baseline figure tag in pp_figure_table
Sparse Pricing,ia-table,implemented-subset,IA sparse robustness; Eq. (6),ia/_run_ia_results.R,ia/_run_ia_results.R section 5.8,ia sparse saved results plus IS_AP objects and OOS asset files,ia/output/paper/tables/table_sparse_pricing.tex,docs/agent-context/exhibits/ia-implemented-subset.md,In-sample and out-of-sample pricing table under imposed sparsity
ISOS Switch Posterior Probabilities,ia-table,implemented-subset,IA IS/OS switch robustness,ia/_run_ia_results.R,code_base/pp_figure_table.R,ia/output/unconditional/bond_stock_with_sp/excess_bond_stock_with_sp_alpha.w=1_beta.w=1_kappa=0_isos_switch.Rdata,ia/output/paper/tables/table_isos_switch_posterior_probs.tex,docs/agent-context/exhibits/ia-implemented-subset.md,Posterior probability table for the IS/OS switch IA model
ISOS Switch Posterior Probability Figure,ia-figure,implemented-subset,IA IS/OS switch robustness,ia/_run_ia_results.R,code_base/pp_figure_table.R,ia/output/unconditional/bond_stock_with_sp/excess_bond_stock_with_sp_alpha.w=1_beta.w=1_kappa=0_isos_switch.Rdata,ia/output/paper/figures/figure_2_posterior_probs_excess_bond_stock_with_sp_isos_switch*.pdf,docs/agent-context/exhibits/ia-implemented-subset.md,Figure 2 analogue for the IS/OS switch IA model
ISOS Switch Pricing,ia-table,implemented-subset,IA IS/OS switch robustness,ia/_run_ia_results.R,ia/_run_ia_results.R section 5.9,ia isos-switch saved results plus IS_AP objects and OOS asset files,ia/output/paper/tables/table_isos_switch_pricing.tex,docs/agent-context/exhibits/ia-implemented-subset.md,In-sample and out-of-sample pricing table for the IS/OS switch IA model
